Depth_m,Vp_km/s,Vs_km/s,GammaRay_api,Density_g/cc,Caliper_m,Swt_v/v,Phit_v/v,Vsh_v/v
1862.42,3.30,1.63,111.92,2.51,0.22,1.00,0.12,0.89
1862.57,3.08,1.56,116.01,2.55,0.22,1.00,0.11,0.92
1862.73,3.04,1.50,115.95,2.58,0.22,1.00,0.11,0.92
1862.88,3.16,1.53,113.10,2.59,0.22,1.00,0.11,0.90
1863.03,3.27,1.55,109.56,2.60,0.22,1.00,0.12,0.87
1863.18,3.30,1.54,106.07,2.60,0.22,1.00,0.12,0.84
1863.34,3.44,1.61,102.68,2.60,0.22,1.00,0.11,0.81
1863.49,3.67,1.76,100.97,2.60,0.22,1.00,0.11,0.80
1863.64,3.86,1.97,102.55,2.61,0.22,1.00,0.10,0.81
1863.79,3.94,2.14,105.09,2.60,0.21,1.00,0.11,0.83
1863.95,3.91,2.19,104.64,2.60,0.21,1.00,0.11,0.83
1864.10,3.86,2.17,100.83,2.60,0.21,1.00,0.10,0.80
1864.25,3.89,2.13,95.22,2.61,0.21,1.00,0.10,0.75
1864.40,3.97,2.11,89.85,2.64,0.21,1.00,0.09,0.71
1864.56,4.03,2.16,87.62,2.65,0.21,1.00,0.09,0.69
1864.71,3.99,2.22,88.31,2.62,0.21,1.00,0.09,0.69
1864.86,3.90,2.23,91.39,2.59,0.21,1.00,0.09,0.72
1865.01,3.81,2.19,96.02,2.59,0.21,1.00,0.09,0.76
1865.17,3.78,2.13,98.21,2.59,0.21,1.00,0.10,0.78
1865.32,3.80,2.10,97.44,2.60,0.21,1.00,0.10,0.77
1865.47,3.85,2.09,96.62,2.59,0.21,1.00,0.10,0.76
1865.62,3.85,2.08,97.42,2.60,0.21,1.00,0.10,0.77
1865.78,3.87,2.07,100.25,2.61,0.21,1.00,0.10,0.79
1865.93,3.90,2.15,103.21,2.62,0.21,1.00,0.10,0.82
1866.08,3.94,2.27,105.62,2.62,0.21,1.00,0.11,0.84
1866.23,3.98,2.41,109.65,2.61,0.21,1.00,0.11,0.87
1866.38,3.79,2.52,115.05,2.59,0.21,1.00,0.11,0.91
1866.54,3.54,2.32,118.99,2.57,0.21,1.00,0.11,0.94
1866.69,3.39,2.06,120.66,2.55,0.22,1.00,0.11,0.96
1866.84,3.25,1.92,121.55,2.53,0.22,1.00,0.11,0.96
1866.99,3.02,1.87,121.98,2.51,0.22,1.00,0.11,0.97
1867.15,2.69,1.93,119.41,2.36,0.22,1.00,0.11,0.95
1867.30,2.34,2.06,108.17,1.99,0.23,1.00,0.12,0.86
1867.45,2.19,2.23,84.12,1.63,0.27,1.00,0.14,0.66
1867.60,2.21,2.44,55.41,1.40,0.28,1.00,0.14,0.39
1867.76,2.23,2.68,38.18,1.33,0.30,1.00,0.13,0.22
1867.91,2.58,2.98,39.99,1.43,0.30,1.00,0.13,0.23
1868.06,3.47,2.58,56.82,1.73,0.25,1.00,0.11,0.41
1868.21,4.03,2.29,77.10,2.14,0.22,1.00,0.10,0.60
1868.37,4.06,2.28,90.78,2.46,0.21,1.00,0.10,0.72
1868.52,4.03,2.26,96.28,2.58,0.21,1.00,0.09,0.76
1868.67,3.97,2.21,98.27,2.60,0.21,1.00,0.10,0.78
1868.82,3.93,2.13,101.12,2.61,0.21,1.00,0.10,0.80
1868.98,3.89,2.07,105.01,2.61,0.21,1.00,0.10,0.83
1869.13,3.88,2.03,107.44,2.60,0.21,1.00,0.11,0.85
1869.28,3.90,2.03,107.34,2.60,0.22,1.00,0.11,0.85
1869.43,3.95,2.08,105.63,2.59,0.21,1.00,0.11,0.84
1869.59,4.01,2.13,103.71,2.59,0.21,1.00,0.10,0.82
1869.74,4.07,2.18,102.04,2.59,0.21,1.00,0.10,0.81
1869.89,4.10,2.20,100.08,2.60,0.21,1.00,0.10,0.79
1870.04,4.08,2.21,98.20,2.61,0.21,1.00,0.10,0.78
1870.19,4.05,2.22,98.05,2.62,0.21,1.00,0.10,0.78
1870.35,3.97,2.23,99.34,2.61,0.21,1.00,0.10,0.79
1870.50,3.87,2.20,98.89,2.59,0.22,1.00,0.10,0.78
1870.65,3.82,2.14,95.51,2.58,0.22,1.00,0.10,0.76
1870.80,3.79,2.10,92.99,2.58,0.21,1.00,0.09,0.73
1870.96,3.81,2.09,94.79,2.59,0.21,1.00,0.09,0.75
1871.11,3.83,2.12,99.27,2.61,0.21,1.00,0.10,0.79
1871.26,3.83,2.14,102.57,2.61,0.21,1.00,0.10,0.81
1871.41,3.83,2.14,103.21,2.60,0.21,1.00,0.10,0.82
1871.57,3.82,2.14,102.03,2.59,0.21,1.00,0.10,0.81
1871.72,3.78,2.14,100.59,2.57,0.21,1.00,0.10,0.80
1871.87,3.71,2.12,99.33,2.55,0.21,1.00,0.10,0.79
1872.02,3.65,2.11,96.89,2.53,0.21,1.00,0.10,0.77
1872.18,3.61,2.11,92.29,2.49,0.21,1.00,0.11,0.73
1872.33,3.59,2.12,85.79,2.46,0.21,1.00,0.12,0.67
1872.48,3.58,2.13,77.74,2.45,0.21,1.00,0.12,0.60
1872.63,3.59,2.11,69.42,2.46,0.21,1.00,0.13,0.53
1872.79,3.60,2.07,63.91,2.49,0.21,1.00,0.13,0.47
1872.94,3.60,2.04,63.58,2.49,0.21,1.00,0.12,0.47
1873.09,3.59,2.05,67.54,2.48,0.21,1.00,0.12,0.51
1873.24,3.59,2.09,72.07,2.46,0.21,1.00,0.12,0.55
1873.40,3.60,2.11,73.53,2.45,0.21,1.00,0.13,0.56
1873.55,3.60,2.11,70.65,2.43,0.21,1.00,0.13,0.54
1873.70,3.57,2.12,64.34,2.42,0.21,1.00,0.14,0.48
1873.85,3.56,2.12,56.73,2.42,0.21,1.00,0.15,0.40
1874.00,3.59,2.12,50.06,2.43,0.21,1.00,0.16,0.34
1874.16,3.68,2.13,45.20,2.45,0.21,1.00,0.16,0.29
1874.31,3.82,2.18,42.06,2.47,0.21,1.00,0.15,0.26
1874.46,3.95,2.26,40.64,2.49,0.21,1.00,0.15,0.24
1874.61,4.03,2.36,40.37,2.50,0.21,1.00,0.14,0.24
1874.77,4.05,2.43,40.34,2.49,0.21,1.00,0.13,0.24
1874.92,4.04,2.45,40.44,2.50,0.21,1.00,0.13,0.24
1875.07,4.08,2.46,40.13,2.51,0.21,1.00,0.12,0.24
1875.22,4.16,2.47,39.24,2.54,0.21,1.00,0.12,0.23
1875.38,4.23,2.50,38.72,2.55,0.21,1.00,0.12,0.22
1875.53,4.24,2.53,39.25,2.55,0.21,1.00,0.12,0.23
1875.68,4.14,2.53,40.66,2.53,0.21,1.00,0.12,0.24
1875.83,3.99,2.49,41.95,2.49,0.21,1.00,0.13,0.26
1875.99,3.78,2.38,43.28,2.44,0.21,1.00,0.14,0.27
1876.14,3.60,2.25,45.45,2.40,0.21,0.98,0.15,0.29
1876.29,3.48,2.13,47.23,2.38,0.21,0.97,0.16,0.31
1876.44,3.45,2.05,47.56,2.38,0.21,0.98,0.17,0.31
1876.60,3.48,2.02,47.27,2.38,0.21,1.00,0.17,0.31
1876.75,3.50,2.01,47.39,2.39,0.21,1.00,0.16,0.31
1876.90,3.51,2.02,48.09,2.40,0.21,1.00,0.16,0.32
1877.05,3.55,2.04,48.76,2.44,0.22,1.00,0.15,0.32
1877.21,3.60,2.05,49.84,2.48,0.21,1.00,0.15,0.34
1877.36,3.61,2.08,50.85,2.48,0.21,1.00,0.15,0.35
1877.51,3.58,2.11,50.46,2.45,0.21,1.00,0.15,0.34
1877.66,3.53,2.10,49.63,2.42,0.21,1.00,0.16,0.33
1877.81,3.49,2.07,49.62,2.42,0.21,1.00,0.16,0.33
1877.97,3.49,2.02,50.39,2.42,0.21,1.00,0.16,0.34
1878.12,3.49,1.99,50.66,2.42,0.21,1.00,0.16,0.34
1878.27,3.46,1.97,49.13,2.41,0.21,1.00,0.16,0.33
1878.42,3.46,1.96,47.26,2.42,0.21,1.00,0.16,0.31
1878.58,3.51,1.95,46.69,2.44,0.21,1.00,0.15,0.30
1878.73,3.63,1.94,46.06,2.47,0.21,1.00,0.14,0.30
1878.88,3.78,1.98,44.25,2.51,0.21,1.00,0.13,0.28
1879.03,3.83,2.10,42.50,2.53,0.22,1.00,0.12,0.26
1879.19,3.81,2.21,41.61,2.52,0.22,1.00,0.11,0.25
1879.34,3.76,2.25,41.06,2.50,0.22,1.00,0.11,0.25
1879.49,3.80,2.23,39.94,2.49,0.22,1.00,0.10,0.23
1879.64,3.91,2.25,38.26,2.50,0.21,1.00,0.10,0.22
1879.80,3.94,2.36,36.95,2.49,0.21,1.00,0.11,0.20
1879.95,3.80,2.41,36.70,2.47,0.21,1.00,0.11,0.20
1880.10,3.66,2.30,37.68,2.45,0.21,1.00,0.11,0.21
1880.25,3.62,2.15,39.16,2.45,0.21,1.00,0.12,0.23
1880.41,3.55,2.05,40.19,2.45,0.22,1.00,0.12,0.24
1880.56,3.51,2.00,40.98,2.45,0.22,1.00,0.12,0.24
1880.71,3.52,2.00,41.88,2.45,0.22,1.00,0.12,0.25
1880.86,3.51,2.02,42.55,2.45,0.22,1.00,0.12,0.26
1881.02,3.48,2.03,42.76,2.44,0.22,1.00,0.12,0.26
1881.17,3.42,2.00,42.49,2.44,0.22,1.00,0.12,0.26
1881.32,3.38,1.96,41.61,2.46,0.22,1.00,0.11,0.25
1881.47,3.42,1.96,40.39,2.49,0.22,1.00,0.11,0.24
1881.62,3.60,2.03,39.75,2.52,0.22,1.00,0.11,0.23
1881.78,3.83,2.12,39.85,2.55,0.22,1.00,0.11,0.23
1881.93,4.11,2.23,39.65,2.57,0.22,1.00,0.10,0.23
1882.08,4.30,2.39,38.97,2.58,0.21,1.00,0.10,0.22
1882.23,4.20,2.54,38.29,2.54,0.21,1.00,0.09,0.22
1882.39,3.98,2.51,37.69,2.49,0.21,1.00,0.09,0.21
1882.54,3.65,2.35,38.87,2.47,0.22,1.00,0.10,0.22
1882.69,3.43,2.14,42.88,2.42,0.22,1.00,0.10,0.26
1882.84,3.34,1.97,46.00,2.39,0.21,1.00,0.10,0.30
1883.00,3.28,1.87,45.27,2.37,0.21,1.00,0.10,0.29
1883.15,3.26,1.79,43.49,2.38,0.21,1.00,0.10,0.27
1883.30,3.25,1.77,43.47,2.39,0.21,1.00,0.10,0.27
1883.45,3.24,1.78,44.77,2.39,0.22,1.00,0.11,0.28
1883.61,3.23,1.79,46.56,2.39,0.22,1.00,0.11,0.30
1883.76,3.18,1.79,48.41,2.40,0.22,1.00,0.11,0.32
1883.91,3.20,1.75,49.51,2.42,0.22,1.00,0.11,0.33
1884.06,3.25,1.75,49.25,2.45,0.22,0.98,0.12,0.33
1884.22,3.27,1.80,48.75,2.45,0.22,0.92,0.14,0.32
1884.37,3.30,1.84,48.33,2.43,0.22,0.96,0.14,0.32
1884.52,3.31,1.85,46.46,2.43,0.22,0.99,0.14,0.30
1884.67,3.45,1.86,44.27,2.45,0.22,0.99,0.15,0.28
1884.83,3.63,1.88,43.46,2.47,0.22,0.99,0.15,0.27
1884.98,3.69,2.00,43.91,2.48,0.22,1.00,0.15,0.28
